datetime,date,hour,day_of_week,is_weekend,is_holiday,season,temperature,humidity,load
2022-01-03 16:00:00,2022-01-03,16,0,False,False,winter,7.9,56.0,1957.29
2022-01-03 17:00:00,2022-01-03,17,0,False,False,winter,12.6,54.0,1925.76
2022-01-03 18:00:00,2022-01-03,18,0,False,False,winter,8.0,62.0,2340.59
2022-01-03 19:00:00,2022-01-03,19,0,False,False,winter,11.1,57.0,1951.28
2022-01-03 20:00:00,2022-01-03,20,0,False,False,winter,11.6,51.0,2051.68
2022-01-03 21:00:00,2022-01-03,21,0,False,False,winter,7.0,72.0,2306.9
2022-01-03 22:00:00,2022-01-03,22,0,False,False,winter,12.7,54.0,1502.44
2022-01-03 23:00:00,2022-01-03,23,0,False,False,winter,12.0,59.0,1632.89
2022-01-04 00:00:00,2022-01-04,0,1,False,False,winter,7.7,62.0,1599.32
2022-01-04 01:00:00,2022-01-04,1,1,False,False,winter,12.4,48.0,1337.07
2022-01-04 02:00:00,2022-01-04,2,1,False,False,winter,11.6,48.0,1547.69
2022-01-04 03:00:00,2022-01-04,3,1,False,False,winter,6.0,66.0,1700.05
2022-01-04 04:00:00,2022-01-04,4,1,False,False,winter,5.0,44.0,1577.02
2022-01-04 05:00:00,2022-01-04,5,1,False,False,winter,4.5,70.0,1675.92
2022-01-04 06:00:00,2022-01-04,6,1,False,False,winter,0.7,77.0,1875.62
2022-01-04 07:00:00,2022-01-04,7,1,False,False,winter,-1.3,79.0,2580.31
2022-01-04 08:00:00,2022-01-04,8,1,False,False,winter,1.9,74.0,2410.33
2022-01-04 09:00:00,2022-01-04,9,1,False,False,winter,3.1,70.0,2216.65
2022-01-04 10:00:00,2022-01-04,10,1,False,False,winter,1.0,75.0,2309.02
2022-01-04 11:00:00,2022-01-04,11,1,False,False,winter,3.4,68.0,2163.67
2022-01-04 12:00:00,2022-01-04,12,1,False,False,winter,6.4,63.0,2023.19
2022-01-04 13:00:00,2022-01-04,13,1,False,False,winter,4.4,62.0,2225.15
2022-01-04 14:00:00,2022-01-04,14,1,False,False,winter,9.6,61.0,1694.67
2022-01-04 15:00:00,2022-01-04,15,1,False,False,winter,8.1,64.0,2012.55
2022-01-04 16:00:00,2022-01-04,16,1,False,False,winter,8.0,53.0,1957.37
2022-01-04 17:00:00,2022-01-04,17,1,False,False,winter,11.6,48.0,2042.03
2022-01-04 18:00:00,2022-01-04,18,1,False,False,winter,12.7,36.0,2053.48
2022-01-04 19:00:00,2022-01-04,19,1,False,False,winter,12.6,47.0,2023.4
2022-01-04 20:00:00,2022-01-04,20,1,False,False,winter,12.1,43.0,1875.33
2022-01-04 21:00:00,2022-01-04,21,1,False,False,winter,12.0,41.0,2047.21
2022-01-04 22:00:00,2022-01-04,22,1,False,False,winter,9.6,61.0,1792.08
2022-01-04 23:00:00,2022-01-04,23,1,False,False,winter,12.5,61.0,1622.75
2022-01-05 00:00:00,2022-01-05,0,2,False,False,winter,10.1,60.0,1498.0
2022-01-05 01:00:00,2022-01-05,1,2,False,False,winter,10.4,62.0,1496.03
2022-01-05 02:00:00,2022-01-05,2,2,False,False,winter,3.9,68.0,1719.17
2022-01-05 03:00:00,2022-01-05,3,2,False,False,winter,5.3,43.0,1708.92
2022-01-05 04:00:00,2022-01-05,4,2,False,False,winter,6.6,61.0,1842.06
2022-01-05 05:00:00,2022-01-05,5,2,False,False,winter,4.6,56.0,1736.07
2022-01-05 06:00:00,2022-01-05,6,2,False,False,winter,4.0,53.0,1728.15
2022-01-05 07:00:00,2022-01-05,7,2,False,False,winter,3.3,59.0,2427.68
2022-01-05 08:00:00,2022-01-05,8,2,False,False,winter,-0.2,60.0,2590.72
2022-01-05 09:00:00,2022-01-05,9,2,False,False,winter,1.4,70.0,2501.12
2022-01-05 10:00:00,2022-01-05,10,2,False,False,winter,4.2,68.0,2084.85
2022-01-05 11:00:00,2022-01-05,11,2,False,False,winter,2.8,78.0,2328.2
2022-01-05 12:00:00,2022-01-05,12,2,False,False,winter,4.7,63.0,2114.94
2022-01-05 13:00:00,2022-01-05,13,2,False,False,winter,4.4,59.0,2245.69
2022-01-05 14:00:00,2022-01-05,14,2,False,False,winter,1.2,59.0,2346.27
2022-01-05 15:00:00,2022-01-05,15,2,False,False,winter,10.6,66.0,1699.44
2022-01-05 16:00:00,2022-01-05,16,2,False,False,winter,8.7,54.0,1822.54
2022-01-05 17:00:00,2022-01-05,17,2,False,False,winter,9.4,59.0,2270.91
2022-01-05 18:00:00,2022-01-05,18,2,False,False,winter,13.4,36.0,1927.68
2022-01-05 19:00:00,2022-01-05,19,2,False,False,winter,12.1,53.0,2098.43
2022-01-05 20:00:00,2022-01-05,20,2,False,False,winter,11.2,54.0,2265.0
2022-01-05 21:00:00,2022-01-05,21,2,False,False,winter,9.7,62.0,2253.26
2022-01-05 22:00:00,2022-01-05,22,2,False,False,winter,9.6,47.0,1664.67
2022-01-05 23:00:00,2022-01-05,23,2,False,False,winter,8.9,58.0,1779.9
2022-01-06 00:00:00,2022-01-06,0,3,False,False,winter,9.6,57.0,1544.33
2022-01-06 01:00:00,2022-01-06,1,3,False,False,winter,7.1,57.0,1574.74
2022-01-06 02:00:00,2022-01-06,2,3,False,False,winter,7.6,44.0,1471.64
2022-01-06 03:00:00,2022-01-06,3,3,False,False,winter,7.8,58.0,1763.76
2022-01-06 04:00:00,2022-01-06,4,3,False,False,winter,2.5,52.0,1876.11
2022-01-06 05:00:00,2022-01-06,5,3,False,False,winter,3.7,58.0,1801.72
2022-01-06 06:00:00,2022-01-06,6,3,False,False,winter,1.7,57.0,1989.68
2022-01-06 07:00:00,2022-01-06,7,3,False,False,winter,2.7,65.0,2652.26
2022-01-06 08:00:00,2022-01-06,8,3,False,False,winter,5.8,59.0,2271.05
2022-01-06 09:00:00,2022-01-06,9,3,False,False,winter,0.7,71.0,2484.63
2022-01-06 10:00:00,2022-01-06,10,3,False,False,winter,-3.1,70.0,2489.64
2022-01-06 11:00:00,2022-01-06,11,3,False,False,winter,4.6,72.0,2221.99
2022-01-06 12:00:00,2022-01-06,12,3,False,False,winter,4.6,56.0,2159.54
2022-01-06 13:00:00,2022-01-06,13,3,False,False,winter,3.4,50.0,2197.63
2022-01-06 14:00:00,2022-01-06,14,3,False,False,winter,13.3,58.0,1845.29
2022-01-06 15:00:00,2022-01-06,15,3,False,False,winter,9.9,59.0,1928.22
2022-01-06 16:00:00,2022-01-06,16,3,False,False,winter,11.2,58.0,1844.6
2022-01-06 17:00:00,2022-01-06,17,3,False,False,winter,11.3,59.0,2166.43
2022-01-06 18:00:00,2022-01-06,18,3,False,False,winter,8.5,45.0,2343.46
2022-01-06 19:00:00,2022-01-06,19,3,False,False,winter,11.2,61.0,2213.76
2022-01-06 20:00:00,2022-01-06,20,3,False,False,winter,10.2,44.0,2115.12
2022-01-06 21:00:00,2022-01-06,21,3,False,False,winter,10.4,40.0,2151.37
2022-01-06 22:00:00,2022-01-06,22,3,False,False,winter,8.6,58.0,1861.27
2022-01-06 23:00:00,2022-01-06,23,3,False,False,winter,10.6,72.0,1582.33
2022-01-07 00:00:00,2022-01-07,0,4,False,False,winter,10.5,44.0,1401.46
2022-01-07 01:00:00,2022-01-07,1,4,False,False,winter,13.5,52.0,1385.76
2022-01-07 02:00:00,2022-01-07,2,4,False,False,winter,7.2,80.0,1580.91
2022-01-07 03:00:00,2022-01-07,3,4,False,False,winter,5.1,62.0,1717.64
2022-01-07 04:00:00,2022-01-07,4,4,False,False,winter,3.8,66.0,1799.16
2022-01-07 05:00:00,2022-01-07,5,4,False,False,winter,5.1,55.0,1778.36
2022-01-07 06:00:00,2022-01-07,6,4,False,False,winter,2.9,81.0,1821.45
2022-01-07 07:00:00,2022-01-07,7,4,False,False,winter,0.9,61.0,2625.12
2022-01-07 08:00:00,2022-01-07,8,4,False,False,winter,3.8,69.0,2480.46
2022-01-07 09:00:00,2022-01-07,9,4,False,False,winter,-0.6,87.0,2533.12
2022-01-07 10:00:00,2022-01-07,10,4,False,False,winter,4.4,72.0,2182.22
2022-01-07 11:00:00,2022-01-07,11,4,False,False,winter,2.3,62.0,2277.34
2022-01-07 12:00:00,2022-01-07,12,4,False,False,winter,4.2,63.0,2219.65
2022-01-07 13:00:00,2022-01-07,13,4,False,False,winter,11.2,58.0,1821.46
2022-01-07 14:00:00,2022-01-07,14,4,False,False,winter,6.6,55.0,2029.53
2022-01-07 15:00:00,2022-01-07,15,4,False,False,winter,5.9,59.0,2036.36
2022-01-07 16:00:00,2022-01-07,16,4,False,False,winter,7.5,66.0,1959.12
2022-01-07 17:00:00,2022-01-07,17,4,False,False,winter,9.5,51.0,2103.84
2022-01-07 18:00:00,2022-01-07,18,4,False,False,winter,10.0,50.0,2190.69
2022-01-07 19:00:00,2022-01-07,19,4,False,False,winter,10.9,50.0,2152.18
2022-01-07 20:00:00,2022-01-07,20,4,False,False,winter,10.7,54.0,1981.78
2022-01-07 21:00:00,2022-01-07,21,4,False,False,winter,12.6,60.0,2085.01
2022-01-07 22:00:00,2022-01-07,22,4,False,False,winter,13.9,36.0,1563.06
2022-01-07 23:00:00,2022-01-07,23,4,False,False,winter,8.3,50.0,1716.76
2022-01-08 00:00:00,2022-01-08,0,5,True,True,winter,7.3,62.0,1193.72
2022-01-08 01:00:00,2022-01-08,1,5,True,True,winter,7.1,55.0,1547.45
2022-01-08 02:00:00,2022-01-08,2,5,True,True,winter,7.5,66.0,1380.49
2022-01-08 03:00:00,2022-01-08,3,5,True,True,winter,8.0,55.0,1181.64
2022-01-08 04:00:00,2022-01-08,4,5,True,True,winter,4.3,52.0,1348.1
2022-01-08 05:00:00,2022-01-08,5,5,True,True,winter,1.1,57.0,1499.69
2022-01-08 06:00:00,2022-01-08,6,5,True,True,winter,2.8,59.0,1500.77
2022-01-08 07:00:00,2022-01-08,7,5,True,True,winter,2.3,66.0,1909.81
2022-01-08 08:00:00,2022-01-08,8,5,True,True,winter,-1.3,50.0,2213.79
2022-01-08 09:00:00,2022-01-08,9,5,True,True,winter,2.9,56.0,1918.58
2022-01-08 10:00:00,2022-01-08,10,5,True,True,winter,1.6,63.0,1776.02
2022-01-08 11:00:00,2022-01-08,11,5,True,True,winter,1.3,60.0,1900.6
2022-01-08 12:00:00,2022-01-08,12,5,True,True,winter,3.8,58.0,1731.08
2022-01-08 13:00:00,2022-01-08,13,5,True,True,winter,6.9,62.0,1504.86
2022-01-08 14:00:00,2022-01-08,14,5,True,True,winter,8.2,69.0,1411.78
2022-01-08 15:00:00,2022-01-08,15,5,True,True,winter,5.6,61.0,1534.83
2022-01-08 16:00:00,2022-01-08,16,5,True,True,winter,5.4,59.0,1549.82
2022-01-08 17:00:00,2022-01-08,17,5,True,True,winter,9.8,64.0,1609.4
2022-01-08 18:00:00,2022-01-08,18,5,True,True,winter,10.2,59.0,1736.01
2022-01-08 19:00:00,2022-01-08,19,5,True,True,winter,14.7,45.0,1522.0
2022-01-08 20:00:00,2022-01-08,20,5,True,True,winter,11.2,61.0,1695.83
2022-01-08 21:00:00,2022-01-08,21,5,True,True,winter,9.4,60.0,1798.96
2022-01-08 22:00:00,2022-01-08,22,5,True,True,winter,13.1,52.0,1192.82
2022-01-08 23:00:00,2022-01-08,23,5,True,True,winter,13.0,52.0,1253.85
2022-01-09 00:00:00,2022-01-09,0,6,True,True,winter,7.3,41.0,1205.76
2022-01-09 01:00:00,2022-01-09,1,6,True,True,winter,9.5,54.0,1163.23
2022-01-09 02:00:00,2022-01-09,2,6,True,True,winter,6.9,61.0,1374.57
2022-01-09 03:00:00,2022-01-09,3,6,True,True,winter,7.6,57.0,1187.26
2022-01-09 04:00:00,2022-01-09,4,6,True,True,winter,4.5,69.0,1460.55
2022-01-09 05:00:00,2022-01-09,5,6,True,True,winter,1.9,63.0,1394.94
2022-01-09 06:00:00,2022-01-09,6,6,True,True,winter,3.0,60.0,1386.44
2022-01-09 07:00:00,2022-01-09,7,6,True,True,winter,0.8,74.0,2057.45
2022-01-09 08:00:00,2022-01-09,8,6,True,True,winter,4.8,76.0,1776.43
2022-01-09 09:00:00,2022-01-09,9,6,True,True,winter,0.4,58.0,2000.0
2022-01-09 10:00:00,2022-01-09,10,6,True,True,winter,4.9,62.0,1609.27
2022-01-09 11:00:00,2022-01-09,11,6,True,True,winter,8.2,57.0,1484.21
2022-01-09 12:00:00,2022-01-09,12,6,True,True,winter,3.4,68.0,1866.24
2022-01-09 13:00:00,2022-01-09,13,6,True,True,winter,7.4,52.0,1720.82
2022-01-09 14:00:00,2022-01-09,14,6,True,True,winter,9.9,66.0,1275.59
2022-01-09 15:00:00,2022-01-09,15,6,True,True,winter,7.5,62.0,1636.53
2022-01-09 16:00:00,2022-01-09,16,6,True,True,winter,12.5,57.0,1357.94
2022-01-09 17:00:00,2022-01-09,17,6,True,True,winter,12.7,47.0,1452.51
2022-01-09 18:00:00,2022-01-09,18,6,True,True,winter,13.6,61.0,1419.92
2022-01-09 19:00:00,2022-01-09,19,6,True,True,winter,8.9,51.0,1864.68
2022-01-09 20:00:00,2022-01-09,20,6,True,True,winter,10.7,61.0,1796.59
2022-01-09 21:00:00,2022-01-09,21,6,True,True,winter,13.0,66.0,1566.88
2022-01-09 22:00:00,2022-01-09,22,6,True,True,winter,12.7,64.0,1260.62
2022-01-09 23:00:00,2022-01-09,23,6,True,True,winter,7.1,65.0,1469.46
2022-01-10 00:00:00,2022-01-10,0,0,False,False,winter,8.5,58.0,1558.13
2022-01-10 01:00:00,2022-01-10,1,0,False,False,winter,7.7,48.0,1631.46
2022-01-10 02:00:00,2022-01-10,2,0,False,False,winter,8.6,50.0,1543.38
2022-01-10 03:00:00,2022-01-10,3,0,False,False,winter,7.4,52.0,1880.87
2022-01-10 04:00:00,2022-01-10,4,0,False,False,winter,5.0,56.0,1783.52
2022-01-10 05:00:00,2022-01-10,5,0,False,False,winter,4.3,70.0,1591.37
2022-01-10 06:00:00,2022-01-10,6,0,False,False,winter,-0.2,58.0,2066.7
2022-01-10 07:00:00,2022-01-10,7,0,False,False,winter,1.4,52.0,2611.69
2022-01-10 08:00:00,2022-01-10,8,0,False,False,winter,4.4,68.0,2344.4
2022-01-10 09:00:00,2022-01-10,9,0,False,False,winter,0.2,67.0,2519.0
2022-01-10 10:00:00,2022-01-10,10,0,False,False,winter,0.7,47.0,2201.18
2022-01-10 11:00:00,2022-01-10,11,0,False,False,winter,4.8,45.0,2163.65
2022-01-10 12:00:00,2022-01-10,12,0,False,False,winter,1.5,63.0,2438.11
2022-01-10 13:00:00,2022-01-10,13,0,False,False,winter,4.2,66.0,2170.21
2022-01-10 14:00:00,2022-01-10,14,0,False,False,winter,6.9,74.0,1970.97
2022-01-10 15:00:00,2022-01-10,15,0,False,False,winter,7.7,56.0,2056.34
2022-01-10 16:00:00,2022-01-10,16,0,False,False,winter,8.0,51.0,1943.93
2022-01-10 17:00:00,2022-01-10,17,0,False,False,winter,13.7,60.0,2077.87
2022-01-10 18:00:00,2022-01-10,18,0,False,False,winter,14.0,58.0,1888.73
2022-01-10 19:00:00,2022-01-10,19,0,False,False,winter,8.9,66.0,2277.98
2022-01-10 20:00:00,2022-01-10,20,0,False,False,winter,14.6,56.0,2053.68
2022-01-10 21:00:00,2022-01-10,21,0,False,False,winter,12.4,57.0,2050.87
2022-01-10 22:00:00,2022-01-10,22,0,False,False,winter,15.2,57.0,1407.83
2022-01-10 23:00:00,2022-01-10,23,0,False,False,winter,15.3,47.0,1451.91
2022-01-11 00:00:00,2022-01-11,0,1,False,False,winter,10.7,43.0,1512.42
2022-01-11 01:00:00,2022-01-11,1,1,False,False,winter,10.4,59.0,1466.34
2022-01-11 02:00:00,2022-01-11,2,1,False,False,winter,3.6,54.0,1660.12
2022-01-11 03:00:00,2022-01-11,3,1,False,False,winter,6.7,61.0,1605.91
2022-01-11 04:00:00,2022-01-11,4,1,False,False,winter,3.1,57.0,1826.46
2022-01-11 05:00:00,2022-01-11,5,1,False,False,winter,1.6,56.0,1955.09
2022-01-11 06:00:00,2022-01-11,6,1,False,False,winter,2.7,63.0,1642.62
2022-01-11 07:00:00,2022-01-11,7,1,False,False,winter,0.8,55.0,2257.89
2022-01-11 08:00:00,2022-01-11,8,1,False,False,winter,3.6,59.0,2527.87
2022-01-11 09:00:00,2022-01-11,9,1,False,False,winter,1.3,57.0,2435.89
2022-01-11 10:00:00,2022-01-11,10,1,False,False,winter,3.4,59.0,2077.83
2022-01-11 11:00:00,2022-01-11,11,1,False,False,winter,3.1,50.0,2290.26
2022-01-11 12:00:00,2022-01-11,12,1,False,False,winter,3.8,59.0,2156.41
2022-01-11 13:00:00,2022-01-11,13,1,False,False,winter,7.9,58.0,1871.91
2022-01-11 14:00:00,2022-01-11,14,1,False,False,winter,6.8,44.0,1937.74
2022-01-11 15:00:00,2022-01-11,15,1,False,False,winter,8.0,67.0,1787.78
2022-01-11 16:00:00,2022-01-11,16,1,False,False,winter,10.0,56.0,1840.69
2022-01-11 17:00:00,2022-01-11,17,1,False,False,winter,10.0,45.0,2182.91
2022-01-11 18:00:00,2022-01-11,18,1,False,False,winter,12.3,33.0,2062.29
2022-01-11 19:00:00,2022-01-11,19,1,False,False,winter,12.6,60.0,2007.96
2022-01-11 20:00:00,2022-01-11,20,1,False,False,winter,12.0,53.0,1918.57
2022-01-11 21:00:00,2022-01-11,21,1,False,False,winter,11.1,52.0,2149.11
2022-01-11 22:00:00,2022-01-11,22,1,False,False,winter,11.1,74.0,1627.06
2022-01-11 23:00:00,2022-01-11,23,1,False,False,winter,10.0,52.0,1677.97
2022-01-12 00:00:00,2022-01-12,0,2,False,False,winter,8.8,53.0,1635.6
2022-01-12 01:00:00,2022-01-12,1,2,False,False,winter,10.2,54.0,1546.37
2022-01-12 02:00:00,2022-01-12,2,2,False,False,winter,3.2,54.0,1853.79
2022-01-12 03:00:00,2022-01-12,3,2,False,False,winter,1.6,65.0,1937.2
2022-01-12 04:00:00,2022-01-12,4,2,False,False,winter,7.5,56.0,1587.12
2022-01-12 05:00:00,2022-01-12,5,2,False,False,winter,0.7,70.0,1798.07
2022-01-12 06:00:00,2022-01-12,6,2,False,False,winter,0.7,57.0,1989.84
2022-01-12 07:00:00,2022-01-12,7,2,False,False,winter,1.4,77.0,2525.61
2022-01-12 08:00:00,2022-01-12,8,2,False,False,winter,4.9,58.0,2393.92
2022-01-12 09:00:00,2022-01-12,9,2,False,False,winter,3.0,51.0,2529.88
2022-01-12 10:00:00,2022-01-12,10,2,False,False,winter,4.2,56.0,2057.11
2022-01-12 11:00:00,2022-01-12,11,2,False,False,winter,0.2,66.0,2278.76
2022-01-12 12:00:00,2022-01-12,12,2,False,False,winter,5.1,71.0,2142.85
2022-01-12 13:00:00,2022-01-12,13,2,False,False,winter,6.6,56.0,1897.5
2022-01-12 14:00:00,2022-01-12,14,2,False,False,winter,7.1,58.0,1963.72
2022-01-12 15:00:00,2022-01-12,15,2,False,False,winter,5.6,61.0,2214.63
2022-01-12 16:00:00,2022-01-12,16,2,False,False,winter,9.1,60.0,1939.41
2022-01-12 17:00:00,2022-01-12,17,2,False,False,winter,10.0,53.0,2081.66
2022-01-12 18:00:00,2022-01-12,18,2,False,False,winter,13.5,62.0,1908.83
2022-01-12 19:00:00,2022-01-12,19,2,False,False,winter,14.1,61.0,2137.13
2022-01-12 20:00:00,2022-01-12,20,2,False,False,winter,12.3,62.0,2062.73
2022-01-12 21:00:00,2022-01-12,21,2,False,False,winter,14.1,36.0,1963.93
2022-01-12 22:00:00,2022-01-12,22,2,False,False,winter,9.2,49.0,1759.67
2022-01-12 23:00:00,2022-01-12,23,2,False,False,winter,10.3,42.0,1534.29
2022-01-13 00:00:00,2022-01-13,0,3,False,False,winter,10.1,57.0,1513.64
2022-01-13 01:00:00,2022-01-13,1,3,False,False,winter,11.0,51.0,1534.51
2022-01-13 02:00:00,2022-01-13,2,3,False,False,winter,7.7,75.0,1614.8
2022-01-13 03:00:00,2022-01-13,3,3,False,False,winter,2.0,57.0,2033.95
2022-01-13 04:00:00,2022-01-13,4,3,False,False,winter,4.0,66.0,1817.7
2022-01-13 05:00:00,2022-01-13,5,3,False,False,winter,4.4,59.0,1905.95
2022-01-13 06:00:00,2022-01-13,6,3,False,False,winter,1.1,74.0,1968.9
2022-01-13 07:00:00,2022-01-13,7,3,False,False,winter,-0.7,71.0,2637.71
2022-01-13 08:00:00,2022-01-13,8,3,False,False,winter,3.8,55.0,2413.66
2022-01-13 09:00:00,2022-01-13,9,3,False,False,winter,2.0,70.0,2580.34
2022-01-13 10:00:00,2022-01-13,10,3,False,False,winter,2.7,59.0,2186.59
2022-01-13 11:00:00,2022-01-13,11,3,False,False,winter,5.9,61.0,2049.67
2022-01-13 12:00:00,2022-01-13,12,3,False,False,winter,3.1,57.0,2076.41
2022-01-13 13:00:00,2022-01-13,13,3,False,False,winter,8.0,67.0,2088.96
2022-01-13 14:00:00,2022-01-13,14,3,False,False,winter,7.2,53.0,1967.05
2022-01-13 15:00:00,2022-01-13,15,3,False,False,winter,10.4,64.0,1648.81
2022-01-13 16:00:00,2022-01-13,16,3,False,False,winter,8.4,59.0,2024.6
2022-01-13 17:00:00,2022-01-13,17,3,False,False,winter,9.2,70.0,2343.66
2022-01-13 18:00:00,2022-01-13,18,3,False,False,winter,12.9,58.0,1970.7
2022-01-13 19:00:00,2022-01-13,19,3,False,False,winter,15.4,57.0,1799.36
2022-01-13 20:00:00,2022-01-13,20,3,False,False,winter,10.7,50.0,2063.6
2022-01-13 21:00:00,2022-01-13,21,3,False,False,winter,9.6,62.0,2131.19
2022-01-13 22:00:00,2022-01-13,22,3,False,False,winter,10.9,48.0,1675.52
2022-01-13 23:00:00,2022-01-13,23,3,False,False,winter,12.3,60.0,1606.08
2022-01-14 00:00:00,2022-01-14,0,4,False,False,winter,10.3,61.0,1398.06
2022-01-14 01:00:00,2022-01-14,1,4,False,False,winter,10.8,47.0,1466.81
2022-01-14 02:00:00,2022-01-14,2,4,False,False,winter,8.6,63.0,1484.09
2022-01-14 03:00:00,2022-01-14,3,4,False,False,winter,2.6,76.0,1773.25
